#,Fire Name,Year,Start Date,State,County/Area,Nearest Town,Nearest PCT Landmark,Approx. PCT Mile,Latitude,Longitude,Size (Acres),Size (sq mi),Cause / Notes,Structures Destroyed,Fatalities,Financial Damage (Reported),Data Confidence,Source,% of RI
149,August Complex,2020,2020-08-16,CA,Glenn/Tehama/Mendocino/Lake/Trinity/Shasta,Elk Creek / Stonyford,Mendocino NF core - far west of PCT; Shasta/Trinity edge closer,~670 and 720,39.9,-122.8,1032648,1505.170313,Lightning; 935 structures destroyed; 1 firefighter fatality; largest CA fire on record. Core of fire (Mendocino NF) is well west of PCT corridor; only the Trinity/Shasta county edge is potentially within 50 mi -- NEEDS DISTANCE VERIFICATION for PCT relevance,935,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,August Complex fire (Wikipedia),0.974220267
175,Basin Fire (2024),2024,2024-06-26,CA,Fresno,Shaver Lake / Huntington Lake,Sierra NF,~870-906,37.1,-119.1,14023,21.9078125,"Kirch Flat/Balch Camp area, Kings River, Sierra NF",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2024 California wildfires (Wikipedia),0.01417981392
166,Eaton Fire,2025,2025-01-07,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,14021,21.746875,"Power lines; 9,414 structures destroyed; 18-19 fatalities; NEEDS DISTANCE VERIFICATION -- Altadena is San Gabriel foothill community, possibly within 50mi of PCT Angeles NF crest segment",9414,19,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,Los Angeles wildfires of 2025 (Britannica),0.01407564725
85,Crown (2010),2010,2010-07-29,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,13918,21.621875,10 structures destroyed,10,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2010 California wildfires (Wikipedia),0.0139947411
108,French (2014),2014,2014-07-28,CA,Madera,Bass Lake,Sierra NF,~880-910,37.35,-119.45,13838,21,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2014 California wildfires (Wikipedia),0.01359223301
164,Mountain Fire (2022),2022,2022-09-02,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,13440,20.9640625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2022 Incident Archive,0.01356897249
136,Buck Fire (2017),2017,2017-09-12,CA,Trinity,Weaverville,Shasta-Trinity NF - western part,"N/A (bordering, likely west of corridor)",40.85,-123.1,13417,20.5296875,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,CAL FIRE 2017 Incident Archive,0.01328782362
5,Cranston Fire,2018,2018-07-25,CA,Southern California,Idyllwild / Mountain Center,San Jacinto segment,~mi 151-179,33.72,-116.8,13139,20.5296875,Arson (convicted: Brandon N. McGlover),12,0,22060000,Original curated entry (see Source #5 in Sources tab),See Source #5,0.01328782362
46,French (2004),2004,2004-08-14,CA,Shasta,Mt. Shasta City,Shasta-Trinity NF,~1500-1520,41,-122.2,13005,20.2609375,30 structures destroyed,30,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2004 California wildfires (Wikipedia),0.0131138754
177,Boise Fire,2024,2024-08-09,CA,Humboldt/Siskiyou,Willow Creek / Somes Bar,Six Rivers NF - west edge of Klamath NF,N/A,41.3,-123.4,12967,19.9359375,Burned in Six Rivers and Klamath NF; NEEDS DISTANCE VERIFICATION for Humboldt portion,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2024 California wildfires (Wikipedia),0.01290351942
66,Slide,2007,2007-10-22,CA,San Bernardino,Big Bear / Lake Arrowhead,San Bernardino NF,~205-342,34.2,-117.15,12759,19.7828125,272 structures destroyed,272,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2007 California wildfires (Wikipedia),0.01280440939
107,Bully,2014,2014-07-11,CA,Shasta,Mt. Shasta City,Shasta-Trinity NF,~1500-1520,41,-122.2,12661,19.646875,"20 structures destroyed, 1 civilian fatality",20,1,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2014 California wildfires (Wikipedia),0.01271642395
95,Indian (2012),2012,2012-08-08,CA,Mono,Mammoth Lakes / Bridgeport,Inyo NF / Toiyabe NF,~906-1000,37.95,-119.05,12574,19.5984375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2012 California wildfires (Wikipedia),0.01268507282
170,Happy Fire,2024,2024-07-16,CA,Fresno,Shaver Lake / Huntington Lake,Sierra NF,~870-906,37.1,-119.1,12543,19.459375,Burned in Monarch Wilderness/Kings Canyon NP; lightning,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2024 California wildfires (Wikipedia),0.01259506472
56,White (2007),2007,2007-06-24,CA,Kern,Kernville / Lake Isabella,Kern River / Kennedy Meadows,~650-702,35.75,-118.45,12454,19.3859375,31 structures destroyed,31,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2007 California wildfires (Wikipedia),0.01254753236
137,Railroad Fire,2017,2017-08-29,CA,Madera,Bass Lake,Sierra NF,~880-910,37.35,-119.45,12407,18.75,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2017 Incident Archive,0.01213592233
31,Nicholas,2002,2002-03-16,CA,Madera,Bass Lake,Sierra NF,~880-910,37.35,-119.45,12000,18.6390625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2002 California wildfires (Wikipedia),0.01206411812
183,Dillon Fire,2025,2025-08-25,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,11929,18.38125,Closed SR-96 in Klamath National Forest,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2025 California wildfires (Wikipedia),0.01189724919
198,Williams Mine Fire,2024,2024-08-05,WA,Skamania/Klickitat,Trout Lake,Gifford Pinchot NF / Mt. Adams Wilderness,~2230-2250,46.15,-121.55,11764,18.11875,"Lightning; Gifford Pinchot NF, Mt. Adams Wilderness; directly closed a PCT segment (FS-23 to Potato Hill)",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,NW Fire Blog / Yakima Herald / InciWeb updates,0.01172734628
78,Tehipite,2008,2008-07-19,CA,Fresno,Shaver Lake / Huntington Lake,Sierra NF,~870-906,37.1,-119.1,11596,17.8578125,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2008 California wildfires (Wikipedia),0.01155845469
105,Deer (2013),2013,2013-08-23,CA,Tehama,Red Bluff,Lassen NF vicinity,N/A (bordering),40.15,-122.1,11429,17.3359375,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2013 California wildfires (Wikipedia),0.01122067152
26,Creek,2001,,CA,Mariposa/Tuolumne,Groveland,Stanislaus NF / Sonora Pass vicinity,~1000-1020,37.9,-119.8,11095,16.95,Arson; destroyed 43 structures,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2001 California wildfires (Wikipedia),0.01097087379
47,Bear (2004),2004,2004-08-11,CA,Shasta,Mt. Shasta City,Shasta-Trinity NF,~1500-1520,41,-122.2,10848,16.5875,86 structures destroyed,86,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2004 California wildfires (Wikipedia),0.01073624595
178,Fresno June Lightning Complex,2024,2024-06-25,CA,Fresno,Shaver Lake / Huntington Lake,Sierra NF,~870-906,37.1,-119.1,10616,16.5375,"Consisted of Flash, Bolt, Hog and other fires; lightning",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2024 California wildfires (Wikipedia),0.0107038835
55,Sierra (2006),2006,2006-02-06,CA,Riverside,Idyllwild / Anza,San Jacinto Mtns,~151-200,33.75,-116.75,10584,16.515625,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2006 California wildfires (Wikipedia),0.01068972492
120,Dodge Fire,2015,2015-08-03,CA,Lassen,Old Station,Lassen NF,~1360-1420,40.55,-121.1,10570,16.2890625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2015 Incident Archive,0.01054308252
167,Hughes Fire,2025,2025-01-22,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,10425,16.1765625,Near Castaic Lake; associated with powerful Santa Ana wind event; NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,CBS News LA fire maps Jan 2025,0.01047026699
29,Viejas,2001,,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,10353,16.0875,Smoking; destroyed 16 structures,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2001 California wildfires (Wikipedia),0.01041262136
146,Taboose Fire,2019,2019-10-01,CA,Inyo,Independence / Big Pine,Inyo NF / Sierra crest,~766-880,36.85,-118.3,10296,15.625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2019 California wildfires (CHDS.us summary),0.01011326861
40,Mountain (2003),2003,2003-10-26,CA,Riverside,Idyllwild / Anza,San Jacinto Mtns,~151-200,33.75,-116.75,10000,15.625,61 structures destroyed,61,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2003 California wildfires (Wikipedia),0.01011326861
138,Elm Fire,2017,2017-05-18,CA,Fresno,Shaver Lake / Huntington Lake,Sierra NF,~870-906,37.1,-119.1,10000,0,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2017 Incident Archive,0
